Attacking,Normal,Fire,Water,Electric,Grass,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel
Normal,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,1,1,0.5
Fire,1,0.5,0.5,1,2,2,1,1,1,1,1,2,0.5,1,0.5,1,2
Water,1,2,0.5,1,0.5,1,1,1,2,1,1,1,2,1,0.5,1,1
Electric,1,1,2,0.5,0.5,1,1,1,0,2,1,1,1,1,0.5,1,1
Grass,1,0.5,2,1,0.5,1,1,0.5,2,0.5,1,0.5,2,1,0.5,1,0.5
Ice,1,0.5,0.5,1,2,0.5,1,1,2,2,1,1,1,1,2,1,0.5
Fighting,2,1,1,1,1,2,1,0.5,1,0.5,0.5,0.5,2,0,1,2,2
Poison,1,1,1,1,2,1,1,0.5,0.5,1,1,1,0.5,0.5,1,1,0
Ground,1,2,1,2,0.5,1,1,2,1,0,1,0.5,2,1,1,1,2
Flying,1,1,1,0.5,2,1,2,1,1,1,1,2,0.5,1,1,1,0.5
Psychic,1,1,1,1,1,1,2,2,1,1,0.5,1,1,1,1,0,0.5
Bug,1,0.5,1,1,2,1,0.5,0.5,1,0.5,2,1,1,0.5,1,2,0.5
Rock,1,2,1,1,1,2,0.5,1,0.5,2,1,2,1,1,1,1,0.5
Ghost,0,1,1,1,1,1,1,1,1,1,2,1,1,2,1,0.5,0.5
Dragon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5
Dark,1,1,1,1,1,1,0.5,1,1,1,2,1,1,2,1,0.5,0.5
Steel,1,0.5,0.5,0.5,1,2,1,1,1,1,1,1,2,1,1,1,0.5